2024-03-12 16:18:28.536 interchange:518 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Got 1 result items in batch from manager b'90577a41c5cc'
2024-03-12 16:18:28.536 interchange:536 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Manager b'90577a41c5cc' sent heartbeat via results connection
2024-03-12 16:18:28.536 interchange:562 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Sending messages on results_outgoing
2024-03-12 16:18:28.537 interchange:564 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Sent messages on results_outgoing
2024-03-12 16:18:28.537 interchange:566 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Current tasks on manager b'90577a41c5cc': [1]
2024-03-12 16:18:28.537 interchange:576 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  leaving results_incoming section
2024-03-12 16:18:28.537 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:28.537 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:28.637 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:28.638 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:28.738 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:28.738 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:28.740 interchange:508 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  entering results_incoming section
2024-03-12 16:18:28.741 interchange:518 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Got 1 result items in batch from manager b'90577a41c5cc'
2024-03-12 16:18:28.741 interchange:548 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Removing task 1 from manager record b'90577a41c5cc'
2024-03-12 16:18:28.741 interchange:562 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Sending messages on results_outgoing
2024-03-12 16:18:28.741 interchange:564 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Sent messages on results_outgoing
2024-03-12 16:18:28.741 interchange:566 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Current tasks on manager b'90577a41c5cc': []
2024-03-12 16:18:28.741 interchange:576 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  leaving results_incoming section
2024-03-12 16:18:28.741 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:28.741 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:28.750 interchange:241 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  putting message onto pending_task_queue
2024-03-12 16:18:28.750 interchange:244 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  Fetched 2 tasks so far
2024-03-12 16:18:28.750 interchange:233 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  launching recv_pyobj
2024-03-12 16:18:28.842 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:28.842 interchange:489 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Sent tasks: [2] to manager b'90577a41c5cc'
2024-03-12 16:18:28.842 interchange:493 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Manager b'90577a41c5cc' has free capacity 48
2024-03-12 16:18:28.842 interchange:501 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  leaving _ready_managers section, with 1 managers still interesting
2024-03-12 16:18:28.843 interchange:399 HTEX-Interchange(418488) MainThread process_task_outgoing_incoming [DEBUG]  starting task_outgoing section
2024-03-12 16:18:28.844 interchange:457 HTEX-Interchange(418488) MainThread process_task_outgoing_incoming [DEBUG]  Manager b'90577a41c5cc' sent heartbeat via tasks connection
2024-03-12 16:18:28.844 interchange:461 HTEX-Interchange(418488) MainThread process_task_outgoing_incoming [DEBUG]  leaving task_outgoing section
2024-03-12 16:18:28.844 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:28.844 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:28.944 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:28.945 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:28.948 interchange:508 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  entering results_incoming section
2024-03-12 16:18:28.949 interchange:518 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Got 1 result items in batch from manager b'90577a41c5cc'
2024-03-12 16:18:28.949 interchange:548 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Removing task 2 from manager record b'90577a41c5cc'
2024-03-12 16:18:28.949 interchange:562 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Sending messages on results_outgoing
2024-03-12 16:18:28.949 interchange:564 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Sent messages on results_outgoing
2024-03-12 16:18:28.949 interchange:566 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  Current tasks on manager b'90577a41c5cc': []
2024-03-12 16:18:28.949 interchange:576 HTEX-Interchange(418488) MainThread process_results_incoming [DEBUG]  leaving results_incoming section
2024-03-12 16:18:28.949 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 1/1
2024-03-12 16:18:28.950 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:28.953 interchange:241 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  putting message onto pending_task_queue
